,0,1,2,3,4,5,6,7,8
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,
1,i,Loans from Banks / FIs,Nil,"LIC Loan 22,80,000 22 Lacs+ Loan from SBI  81,92,965 81 Lacs+ SBI Loan 33,43,069 33 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,38,16,034 1 Crore+"
2,i,Loans due to Individual / Entity,Nil,"Santiam Estates Pvt Ltd  39,77,545 39 Lacs+ Sri Narahari Pullayya  45,00,000 45 Lacs+ Sri Surya Venkata Subba Rao  55,00,000 55 Lacs+ Raj kamal Poultries Pvt Ltd.  1,80,000 1 Lacs+ I.A. Raja Varma  7,00,000 7 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,48,57,545 1 Crore+"
3,i,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil
4,i,Grand Total of Liabilities (as per affidavit),Nil,"2,86,73,579 2 Crore+",Nil,Nil,Nil,Nil,"Rs 2,86,73,579 2 Crore+"
5,ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,ii,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,ii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
8,ii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
9,ii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,ii,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
11,ii,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
12,ii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
13,ii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
14,ii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
15,ii,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
16,ii,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
17,iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
18,iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
19,iv,Totals (Calculated as Sum of Values),Nil,"Rs 2,86,73,579 2 Crore+",Nil,Nil,Nil,Nil,"Rs 2,86,73,579 2 Crore+"
