,0,1,2,3,4,5,6,7,8
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,
1,i,Loans from Banks / FIs,"SBI Outstanding 28,513 28 Thou+","HDFC Bank Car Loan Outstanding 6,13,391 6 Lacs+",Nil,Nil,Nil,Nil,"Rs 6,41,904 6 Lacs+"
2,i,Loans due to Individual / Entity,"Car Loan For Assam Assmebly Secretariat Out Standing  11,51,024 11 Lacs+ Loan From Hachina Basira Choudhury  1,81,221 1 Lacs+ Loan From Sanjay Aggarwal 19,00,000 19 Lacs+","Loan From Foyzal Hoque  7,00,000 7 Lacs+",Nil,Nil,Nil,Nil,"Rs 39,32,245 39 Lacs+"
3,i,Any other Liability,"Loan Out Standing With Pnb,Zoo Road Branch. In The Name Of P. Firm hotel D Sappire Extent Of Share-50% Rs.4995842  24,97,921 24 Lacs+","Loan Out Standing With Pnb,Zoo Road Branch. In The Name Of P. Firm hotel D Sappire Extent Of Share-50% Rs.4995842 24,97,921 24 Lacs+",Nil,Nil,Nil,Nil,"Rs 49,95,842 49 Lacs+"
4,i,Grand Total of Liabilities (as per affidavit),"57,58,679 57 Lacs+","38,11,312 38 Lacs+",Nil,Nil,Nil,Nil,"Rs 95,69,991 95 Lacs+"
5,ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,ii,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,ii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
8,ii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
9,ii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,ii,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
11,ii,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
12,ii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
13,ii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
14,ii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
15,ii,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
16,ii,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
17,iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
18,iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
19,iv,Totals (Calculated as Sum of Values),"Rs 57,58,679 57 Lacs+","Rs 38,11,312 38 Lacs+",Nil,Nil,Nil,Nil,"Rs 95,69,991 95 Lacs+"
