,0,1,2,3,4,5,6,7,8
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,
1,i,Loans from Banks / FIs,Nil,Nil,Nil,Nil,Nil,Nil,Nil
2,i,Loans due to Individual / Entity,"Dr. Dudrejia  10,50,000 10 Lacs+ Chandulal Bhorania  50,00,000 50 Lacs+ Ramin Sanatbhai  10,00,000 10 Lacs+ Pranjivan Mahadev  2,00,000 2 Lacs+ Raghavji Keshavjibhai  1,00,000 1 Lacs+ Bharat Pramjibhai  1,00,000 1 Lacs+ Dharmendra Parmar  5,00,000 5 Lacs+ N.L Dholriya  4,00,000 4 Lacs+ Nishaben Dave  50,000 50 Thou+ Ajay MukeshBhai  10,00,000 10 Lacs+ Anil P. Mehta 2,00,000 2 Lacs+ Backbone Construction  15,00,000 15 Lacs+ Thobhanbhai  2,50,000 2 Lacs+ Dharmendra Dave/ Nisha Dave  9,50,000 9 Lacs+ Dream Ads.  20,40,000 20 Lacs+ Dularbhji Amritiya  5,00,000 5 Lacs+ Ilaben Maganbhai  2,50,000 2 Lacs+ Mahesh Babulal  2,50,000 2 Lacs+ Neeta Sanjay Jhalariya  10,50,000 10 Lacs+ Pradeep Kumar Dhudhrejiya 5,00,000 5 Lacs+ Radiant School Of Science 2,10,708 2 Lacs+ Shivay Energy  4,86,371 4 Lacs+ Vishwas Joshi  3,25,000 3 Lacs+","Bhavini Jain  2,000 2 Thou+ Hansha M. Dave  5,00,000 5 Lacs+ Jagrutiben Patel  50,00,000 50 Lacs+ Jivrambhai Patel  20,00,000 20 Lacs+ Kantilal Shivlal Amrutiya  15,50,000 15 Lacs+ Labhubhai Amrutiya  4,82,500 4 Lacs+ Bipinbhai 10,00,000 10 Lacs+ Mahendrabhai Chaganbhai  25,00,000 25 Lacs+ Pratham Kantilal Amrutiya  6,20,000 6 Lacs+",Nil,"Brand Creater International  2,50,000 2 Lacs+ Gaurav Rohitkumar Bhatt  3,50,000 3 Lacs+ Prayag Divyang Bhatt  11,20,000 11 Lacs+",Nil,Nil,"Rs 3,32,86,579 3 Crore+"
3,i,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil
4,i,Grand Total of Liabilities (as per affidavit),"1,79,12,079 1 Crore+","1,36,54,500 1 Crore+",Nil,"17,20,000 17 Lacs+",Nil,Nil,"Rs 3,32,86,579 3 Crore+"
5,ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,ii,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,ii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
8,ii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
9,ii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,ii,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
11,ii,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
12,ii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
13,ii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
14,ii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
15,ii,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
16,ii,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
17,iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
18,iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
19,iv,Totals (Calculated as Sum of Values),"Rs 1,79,12,079 1 Crore+","Rs 1,36,54,500 1 Crore+",Nil,"Rs 17,20,000 17 Lacs+",Nil,Nil,"Rs 3,32,86,579 3 Crore+"
