,0,1,2,3,4,5,6,7,8
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,
1,i,Cash,"60,000 60 Thou+","70,000 70 Thou+",Nil,"10,000 10 Thou+","10,000 10 Thou+","5,000 5 Thou+","Rs 1,55,000 1 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI Branch ADB Paonta Sahib  22,427 22 Thou+ SBI Main Branch Paonta Sahib  904 9 Hund+ UCO Bank Branch Vidhan Sabha Shimla  4,77,642 4 Lacs+ HP State Co-Operative Bank, Branch Paonta Sahib  13,041 13 Thou+ The Jyoti Co-Operative Bank, Branch Paonta Sahib  2,394 2 Thou+","SBI Branch Taruwala Tehsil Paonta Sahib  1,37,712 1 Lacs+ SBI Branch Majra  47,829 47 Thou+ GPF  40,00,000 40 Lacs+",Nil,"SBI Branch Bengaluru  35,569 35 Thou+ HDFC Bank Branch Paonta Sahib  7,73,794 7 Lacs+ FDR SBI Branch Bengaluru  3,00,000 3 Lacs+","SBI Branch Taruwala Tehsil Paonta Sahib  64,819 64 Thou+","SBI Paonta Sahib  2,54,048 2 Lacs+","Rs 61,30,179 61 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,"23 Companies 885 Unit/shares 7,68,372 7 Lacs+",Nil,"12 Companies 450 units/shares  2,28,000 2 Lacs+","Rs 9,96,372 9 Lacs+"
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,Nil,Nil,Nil,"LIC Policy  80,000 80 Thou+","LIC Policy  80,000 80 Thou+","LIC Policy  80,000 80 Thou+","Rs 2,40,000 2 Lacs+"
6,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,vi,"Motor Vehicles (details of make, etc.)","HP17C0001 Scorpio Model 2017  22,00,000 22 Lacs+","HP17F1221, Scooty Model 2019  50,000 50 Thou+",Nil,Nil,Nil,"HP17E5959, Scooty Model 2018  50,000 50 Thou+","Rs 23,00,000 23 Lacs+"
8,vii,Jewellery (give details weight value),Nil,"Gold and Silver 105 gms  4,50,000 4 Lacs+",Nil,Nil,Nil,Nil,"Rs 4,50,000 4 Lacs+"
9,viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"27,76,408 27 Lacs+","47,55,541 47 Lacs+",Nil,"19,67,735 19 Lacs+","1,54,819 1 Lacs+","6,17,048 6 Lacs+","Rs 1,02,71,551 1 Crore+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 27,76,408 27 Lacs+","Rs 47,55,541 47 Lacs+",Nil,"Rs 19,67,735 19 Lacs+","Rs 1,54,819 1 Lacs+","Rs 6,17,048 6 Lacs+","Rs 1,02,71,551 1 Crore+"
