,0,1,2,3,4,5,6,7,8
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,
1,i,Loans from Banks / FIs,"2,07,59,955 2 Crore+ 2,16,72,548 2 Crore+ 14,36,648 14 Lacs+ 3,79,83,979 3 Crore+ 1,69,66,842 1 Crore+ 34,60,402 34 Lacs+ 76,59,904 76 Lacs+ 1,96,99,261 1 Crore+ 1,27,29,157 1 Crore+ 80,94,880 80 Lacs+ 25,44,721 25 Lacs+ 24,16,686 24 Lacs+ 31,17,483 31 Lacs+ 2,99,370 2 Lacs+ 26,00,000 26 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 16,14,41,836 16 Crore+"
2,i,Loans due to Individual / Entity,"2,10,000 2 Lacs+ 4,00,000 4 Lacs+ 8,00,000 8 Lacs+ 17,50,000 17 Lacs+ 1,00,000 1 Lacs+ 5,70,000 5 Lacs+ 57,95,075 57 Lacs+ 37,83,484 37 Lacs+ 6,75,000 6 Lacs+ 15,00,000 15 Lacs+ 10,00,000 10 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 1,65,83,559 1 Crore+"
3,i,Any other Liability,"43,00,000 43 Lacs+ 30,00,000 30 Lacs+ 42,00,000 42 Lacs+ 21,50,000 21 Lacs+ 49,50,000 49 Lacs+ 30,00,000 30 Lacs+ 34,40,000 34 Lacs+ 33,00,000 33 Lacs+ 35,00,000 35 Lacs+ 26,00,000 26 Lacs+ 40,00,000 40 Lacs+ 43,00,000 43 Lacs+ 56,00,000 56 Lacs+ 32,00,000 32 Lacs+ 30,00,000 30 Lacs+ 37,00,000 37 Lacs+ 32,00,000 32 Lacs+ 64,00,000 64 Lacs+ 40,00,000 40 Lacs+ 50,00,000 50 Lacs+ 41,00,000 41 Lacs+ 36,49,976 36 Lacs+ 41,00,000 41 Lacs+ 12,00,000 12 Lacs+ 35,00,000 35 Lacs+ 54,00,000 54 Lacs+ 37,25,000 37 Lacs+ 35,00,000 35 Lacs+ 50,00,000 50 Lacs+ 30,00,000 30 Lacs+ 40,00,000 40 Lacs+ 38,00,000 38 Lacs+ 30,00,000 30 Lacs+ 20,00,000 20 Lacs+ 25,00,000 25 Lacs+ 40,00,000 40 Lacs+ 30,00,000 30 Lacs+ 37,00,000 37 Lacs+ 44,99,976 44 Lacs+ 35,00,000 35 Lacs+ 16,00,000 16 Lacs+ 20,00,000 20 Lacs+ 48,00,000 48 Lacs+ 64,00,000 64 Lacs+ 29,43,750 29 Lacs+ 30,00,000 30 Lacs+ 35,50,000 35 Lacs+ 36,50,000 36 Lacs+ 33,00,000 33 Lacs+ 57,00,000 57 Lacs+ 40,00,000 40 Lacs+ 37,25,000 37 Lacs+ 38,25,000 38 Lacs+ 37,00,000 37 Lacs+ 40,00,000 40 Lacs+ 18,50,000 18 Lacs+ 33,62,500 33 Lacs+ 39,00,000 39 Lacs+ 65,50,000 65 Lacs+ 35,10,000 35 Lacs+ 25,00,000 25 Lacs+ 42,00,000 42 Lacs+ 38,25,000 38 Lacs+ 25,00,000 25 Lacs+ 33,95,000 33 Lacs+ 44,00,000 44 Lacs+ 37,00,000 37 Lacs+ 10,00,000 10 Lacs+ 35,00,000 35 Lacs+ 50,00,000 50 Lacs+ 35,00,000 35 Lacs+ 5,13,415 5 Lacs+ 1,00,000 1 Lacs+ 3,50,000 3 Lacs+ 13,00,000 13 Lacs+ 1,70,000 1 Lacs+ 1,00,000 1 Lacs+ 16,86,250 16 Lacs+ 3,00,000 3 Lacs+ 2,50,000 2 Lacs+ 5,00,000 5 Lacs+ 30,00,000 30 Lacs+ 27,50,000 27 Lacs+ 19,50,000 19 Lacs+ 7,00,000 7 Lacs+ 7,50,000 7 Lacs+ 5,50,000 5 Lacs+ 30,45,000 30 Lacs+ 4,00,000 4 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 27,93,15,867 27 Crore+"
4,i,Grand Total of Liabilities (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,ii,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,ii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
8,ii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
9,ii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
