,0,1,2,3,4,5,6,7,8
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,
1,i,Loans from Banks / FIs,"Amar Cineple, J&K Bank, Katra  1,26,42,384 1 Crore+ AMR Hotel  1,26,41,715 1 Crore+ 3,80,577 3 Lacs+ 1,27,092 1 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 2,57,91,768 2 Crore+"
2,i,Loans due to Individual / Entity,"Car Loan, JK Bank Katra, A/c No. 380  2,37,209 2 Lacs+ A/c No. 311  1,70,510 1 Lacs+ Education Loan No. 3  9,16,339 9 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 13,24,058 13 Lacs+"
3,i,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil
4,i,Grand Total of Liabilities (as per affidavit),"2,71,15,826 2 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 2,71,15,826 2 Crore+"
5,ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,ii,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,ii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
8,ii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
9,ii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,ii,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
11,ii,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
12,ii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
13,ii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
14,ii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
15,ii,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
16,ii,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
17,iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
18,iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
19,iv,Totals (Calculated as Sum of Values),"Rs 2,71,15,826 2 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 2,71,15,826 2 Crore+"
