,0,1,2,3,4,5,6,7,8,9,10
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,dependent5,
1,i,Cash,"4,00,000 4 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,Nil,"Rs 4,00,000 4 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI, Khatia Baranch Aizwal No 1027674xxxxx  6,43,358 6 Lacs+ Mizoram Rural Bank Khatla Branch No 2500201xxxxx  1,55,380 1 Lacs+ Mizoram Co-Operative Apex Bank Main Branch Aizwal No 00010182000xxxxx  1,73,176 1 Lacs+ Deposti SBI Khatla Branch No 418714xxxxx  1,50,000 1 Lacs+",Nil,Nil,"SBI Secretariate Branch Aizwal No 2030595xxxxx  44,680 44 Thou+","SBI, Khatia Branch Aizwal No 2025886xxxxx  5,301 5 Thou+","SBI, Khatia Branch Aizwal No 2024679xxxxx  24,694 24 Thou+","SBI, Khatia Branch Aizwal No 2027913xxxxx  1,09,660 1 Lacs+","SBI, Khatia Branch Aizwal No 202586xxxxx  1,850 1 Thou+","Rs 13,08,099 13 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies","Lushai Trading Company Share 500 * 10  5,000 5 Thou+ Khatla Consumer Co-Operative Society 22*500 11,000 11 Thou+",Nil,Nil,Nil,Nil,Nil,Nil,Nil,"Rs 16,000 16 Thou+"
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,vi,"Motor Vehicles (details of make, etc.)","XUV 300 Mahindra MZ01R7441 Year 2019  10,00,000 10 Lacs+ Grand I10 Second Hand MZ01T9266 Year 2022  4,00,000 4 Lacs+",Nil,Nil,"Scooty Motor Cycle MZ01Z8327 Year 2023  1,17,798 1 Lacs+",Nil,Nil,Nil,Nil,"Rs 15,17,798 15 Lacs+"
8,vii,Jewellery (give details weight value),Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
9,viii,"Other assets, such as values of claims / interests","4,50,000 4 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,Nil,"Rs 4,50,000 4 Lacs+"
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"33,87,914 33 Lacs+",Nil,Nil,"1,59,226 1 Lacs+","84,050 84 Thou+","24,694 24 Thou+","1,09,660 1 Lacs+","1,850 1 Thou+","Rs 37,67,394 37 Lacs+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 33,87,914 33 Lacs+",Nil,Nil,"Rs 1,62,478 1 Lacs+","Rs 5,301 5 Thou+","Rs 24,694 24 Thou+","Rs 1,09,660 1 Lacs+","Rs 1,850 1 Thou+","Rs 36,91,897 36 Lacs+"
