,0,1,2,3,4,5,6,7,8
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,
1,i,Cash,"1,00,000 1 Lacs+","50,000 50 Thou+",Nil,"10,000 10 Thou+","10,000 10 Thou+",Nil,"Rs 1,70,000 1 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","MRB Vaivakawn Branch, No 970024xxxxx-3  5,27,626 5 Lacs+ Bandhan Bank, Kolasib Branch, No 5018002155xxxxx  2,638 2 Thou+","MRB Vaivakawn Branch, No 250520xxxxx-7  1,837 1 Thou+ MRB Khatla Branch, No 970015xxxxx-4  63,962 63 Thou+",Nil,"MRB Vaivakawn Branch No 2505208xxxxx  635 6 Hund+ SBI Vaivakawn Branch, No 3999503xxxxx  21,358 21 Thou+","MRB Vaivakawn Branch No 250520xxxxx-2  4,437 4 Thou+",Nil,"Rs 6,22,493 6 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,Nil
8,vii,Jewellery (give details weight value),Nil,Nil,Nil,Nil,Nil,Nil,Nil
9,viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"6,30,264 6 Lacs+","1,15,799 1 Lacs+",Nil,"21,993 21 Thou+","4,437 4 Thou+",Nil,"Rs 7,72,493 7 Lacs+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 6,30,264 6 Lacs+","Rs 1,15,799 1 Lacs+",Nil,"Rs 31,993 31 Thou+","Rs 14,437 14 Thou+",Nil,"Rs 7,92,493 7 Lacs+"
