,0,1,2,3,4,5,6,7,8
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,
1,i,Loans from Banks / FIs,"City Union Bank  91,08,432 91 Lacs+ City Union Bank  99,91,321 99 Lacs+ City Union Bank  18,99,125 18 Lacs+ City Union Bank  56,48,569 56 Lacs+ City Union Bank  5,40,71,145 5 Crore+ City Union Bank  22,75,514 22 Lacs+ City Union Bank 29,98,714 29 Lacs+ City Union Bank  1,49,65,727 1 Crore+","City Union Bank  71,54,638 71 Lacs+ Indian bank  5,34,652 5 Lacs+ Indian bank  17,76,922 17 Lacs+",Nil,Nil,Nil,Nil,"Rs 11,04,24,759 11 Crore+"
2,i,Loans due to Individual / Entity,"A Kivtha  4,00,000 4 Lacs+ Bhuvaneswari  8,50,000 8 Lacs+ Devang Chorida HUF  1,01,250 1 Lacs+ Devang Chorida HUF Loan no 03  10,00,000 10 Lacs+ Devang Chorida HUF Loan No: 147  25,00,000 25 Lacs+ Devendiran  5,50,000 5 Lacs+ Valliamal  14,81,000 14 Lacs+ LIC Loan  29,06,383 29 Lacs+ Manikanadan  20,00,000 20 Lacs+ Mariyappan  22,50,000 22 Lacs+ Anjalakshi  30,44,125 30 Lacs+ Ranjith Kuumar  20,54,901 20 Lacs+ Ravindran  21,74,278 21 Lacs+ Sundraj  10,01,647 10 Lacs+ Thennarasu & Kalaivani  16,28,813 16 Lacs+ Thilagam Wines  58,00,000 58 Lacs+ Vinayagam Sivaguru  1,00,000 1 Lacs+","Ragothaman  1,20,200 1 Lacs+ Padmini  3,00,000 3 Lacs+ Ranjith Wines  21,11,000 21 Lacs+",Nil,Nil,Nil,Nil,"Rs 3,23,73,597 3 Crore+"
3,i,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil
4,i,Grand Total of Liabilities (as per affidavit),"13,08,00,947 13 Crore+","1,19,97,412 1 Crore+",Nil,Nil,Nil,Nil,"Rs 14,27,98,359 14 Crore+"
5,ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,ii,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,ii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
8,ii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
9,ii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,ii,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
11,ii,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
12,ii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
13,ii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
14,ii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
15,ii,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
16,ii,Any Other Dues,"Kisthy Interest Due (Waiver Pending)  22,57,365 22 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 22,57,365 22 Lacs+"
17,iii,Grand Total of all Govt Dues (as per affidavit),"22,57,365 22 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 22,57,365 22 Lacs+"
18,iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
19,iv,Totals (Calculated as Sum of Values),"Rs 13,30,58,309 13 Crore+","Rs 1,19,97,412 1 Crore+",Nil,Nil,Nil,Nil,"Rs 14,50,55,721 14 Crore+"
