,0,1,2,3,4,5,6,7,8
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,
1,i,Cash,"5,00,000 5 Lacs+","5,00,000 5 Lacs+",Nil,Nil,Nil,Nil,"Rs 10,00,000 10 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","State Bank of India, Karaikal  20,62,858 20 Lacs+ Indian Bank, Karaikal  4,056 4 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 20,66,914 20 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,vi,"Motor Vehicles (details of make, etc.)","PY-02Q8033 Ashok Leyland Bus, Model 2016  8,00,000 8 Lacs+ PY-02Q8016 Ashok Leyland Bus Model 2016  8,00,000 8 Lacs+ PY-02B 7227 Ashok Leyland Bus, Model 2004  3,00,000 3 Lacs+ PY-02B7227 Ashok Leyland Bus Model 2004  3,00,000 3 Lacs+ PY-02K3333 Maruti Wagon R Model 2011  2,50,000 2 Lacs+","PY-02Q8030 Ashok Leyland Bus Model 2016  8,00,000 8 Lacs+ PY-02R3589 Ashok leyland Bus, Model 2047  10,00,000 10 Lacs+ PY-02R6666 Skoda Kodiaq, Model 2017  20,00,000 20 Lacs+ PY-02T3333 Toyota Fortuner, Model 2019  18,00,000 18 Lacs+",Nil,Nil,Nil,Nil,"Rs 80,50,000 80 Lacs+"
8,vii,Jewellery (give details weight value),Nil,"Gold Ornaments 1200 gm.  50,86,800 50 Lacs+",Nil,Nil,Nil,Nil,"Rs 50,86,800 50 Lacs+"
9,viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"50,12,858 50 Lacs+","1,11,86,800 1 Crore+",Nil,Nil,Nil,Nil,"Rs 1,61,99,658 1 Crore+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 50,16,914 50 Lacs+","Rs 1,11,86,800 1 Crore+",Nil,Nil,Nil,Nil,"Rs 1,62,03,714 1 Crore+"
