,0,1,2,3,4,5,6,7,8
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,
1,i,Loans from Banks / FIs,"Union Bank Parra Secured Loab  19,91,572 19 Lacs+","Union Bank Parra Secured Loab  19,91,572 19 Lacs+",Nil,Nil,Nil,Nil,"Rs 39,83,144 39 Lacs+"
2,i,Loans due to Individual / Entity,"Francis Viegas 2,50,000 2 Lacs+ Loan From Other 66,500 66 Thou+","Francis Viegas  2,50,000 2 Lacs+ Loan From Other  66,500 66 Thou+",Nil,Nil,Nil,Nil,"Rs 6,33,000 6 Lacs+"
3,i,Any other Liability,"Loan From Saili Govekar 50,000 50 Thou+","Loan From Saili Govekar  50,000 50 Thou+",Nil,Nil,Nil,Nil,"Rs 1,00,000 1 Lacs+"
4,i,Grand Total of Liabilities (as per affidavit),"23,58,072 23 Lacs+","23,58,072 23 Lacs+",Nil,Nil,Nil,Nil,"Rs 47,16,144 47 Lacs+"
5,ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,ii,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,ii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
8,ii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
9,ii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,ii,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
11,ii,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
12,ii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
13,ii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
14,ii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
15,ii,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
16,ii,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
17,iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
18,iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
19,iv,Totals (Calculated as Sum of Values),"Rs 23,58,072 23 Lacs+","Rs 23,58,072 23 Lacs+",Nil,Nil,Nil,Nil,"Rs 47,16,144 47 Lacs+"
