,0,1,2,3,4,5,6,7,8,9
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,
1,i,Loans from Banks / FIs,"SBI Housing Loan  37,16,416 37 Lacs+ BOB Housing Loan  11,21,477 11 Lacs+ Bank of Baroda Car Loan  77,553 77 Thou+ Corporation Bank Gold Loan  5,73,068 5 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,"Rs 54,88,514 54 Lacs+"
2,i,Loans due to Individual / Entity,"Ceeias Simoes Personal  3,50,000 3 Lacs+ Wilson Pereira Personal  2,50,000 2 Lacs+ Xavier Frncis D Souza Personal  35,00,000 35 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,"Rs 41,00,000 41 Lacs+"
3,i,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
4,i,Grand Total of Liabilities (as per affidavit),"95,88,514 95 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,"Rs 95,88,514 95 Lacs+"
5,ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,ii,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,ii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
8,ii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
9,ii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,ii,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
11,ii,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
12,ii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
13,ii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
14,ii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
15,ii,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
16,ii,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
17,iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
18,iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
19,iv,Totals (Calculated as Sum of Values),"Rs 95,88,514 95 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,"Rs 95,88,514 95 Lacs+"
