,0,1,2,3,4,5,6,7,8
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,
1,i,Cash,"50,000 50 Thou+","20,000 20 Thou+",Nil,"5,000 5 Thou+","3,000 3 Thou+","2,500 2 Thou+","Rs 80,500 80 Thou+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","ICICI Bank Br. Ponda SB No 02100150xxxxx  58,363 58 Thou+ SBI Bank Br. Dabal SB No 1127492xxxxx  21,436 21 Thou+ HDFC Bank Br. Ponda SB No 169100000xxxxx  1,27,355 1 Lacs+ The North Kanara GSB Co-op Bank Br. Ponda SB A/C No-109  16,016 16 Thou+ HDFC Bank Br. Ponda SB No 0169193000xxxxx  6,740 6 Thou+ Vijaya Bank Br. Ponda SB No 60260101100xxxxx  9,254 9 Thou+ The Goa State Co-op Bank Br. Dharbandora CA No 0012101000xxxxx  3,124 3 Thou+ The Pirna Urban Co-op Credit Society Br. Ponda CA A/C No-C/A01  62,187 62 Thou+ PNB Bank Br. Ponda SB No 1571219100xxxxx  22,586 22 Thou+ PNB Bank Br. Ponda CA No 1571113100xxxxx  6,62,214 6 Lacs+ BOI Bank Br. Ponda SB No 1019011001xxxxx  18,366 18 Thou+ The Pirna Urban Co-op Credit Society Br. Ponda SB A/C No-696  9,293 9 Thou+ BOI Bank Br. Ponda SB No 10191211000xxxxx  1,40,061 1 Lacs+","SBI Bank Br. Dabal FDR No 3028470xxxxx  1,38,425 1 Lacs+ Indian Oversea Br. Ponda SB No 19570100000xxxxx  5,075 5 Thou+ HDFC Bank Br. Ponda SB No 169100005xxxxx  1,528 1 Thou+ SBI Bank Br. Dabal SB No 1127492xxxxx  1,713 1 Thou+",Nil,"The NKGSB Co-op Bank Br. Ponda FDR No 01720020000xxxxx  8,50,000 8 Lacs+ VPK Urban Co-op Credit Society FDR No 15xxxxx  68,971 68 Thou+ The Samruddin Urban Co-op Credit Society FDR No-8533  2,00,000 2 Lacs+ Indian Oversea Bank Br. Ponda FDR No 16xxxxx  95,595 95 Thou+ Indian Oversea Bank Br. Ponda FDR No 54xxxxx  85,583 85 Thou+ SBI Bank Br. Dabal FDR No 1127494xxxxx  39,410 39 Thou+ SBI Bank Br. Dabal FDR No 3028469xxxxx  1,35,140 1 Lacs+ Indian Oversea SB No 19570100000xxxxx  22,953 22 Thou+ The NKGSB Co-op Bank Br. Ponda SB No 01710010000xxxxx  10,415 10 Thou+ SBI Bank Br. Dabal SB No 3759033xxxxx  1,21,994 1 Lacs+","Dena Bank Br. Ponda FDR No 01796600xxxxx  1,12,846 1 Lacs+ BOI Bank Br. Ponda SB No 10191011001xxxxx  623 6 Hund+ Dena Bank SB A/C No-992  311 3 Hund+","NKGSB Co-op Bank Br. Ponda FDR No 62xxxxx  93,423 93 Thou+ NKGSB Co-op Bank Br. Ponda FDR No 62xxxxx  80,942 80 Thou+ NKGSB Co-op Bank Br. Ponda FDR No 6xxxxx  82,392 82 Thou+ BOI Bank Br. Ponda SB No 10191011001xxxxx  1,81,269 1 Lacs+","Rs 34,85,603 34 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies","Healthway Hospital 300 Shares  25,00,000 25 Lacs+ Shares in Pirna Urban Co-op Cr. Society  1,29,500 1 Lacs+ Shares Market SSPN Finance 4,00,000 4 Lacs+ The Goa State Co-op Bank 1,25,010 1 Lacs+",Nil,Nil,Nil,"500 Unit UTI Primary Equity Fund  5,000 5 Thou+",Nil,"Rs 31,59,510 31 Lacs+"
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,"Met Life Insurance  3,90,000 3 Lacs+ ICICI Prudential 25,00,000 25 Lacs+","Canara HSBC Oriental Bank 1,50,480 1 Lacs+",Nil,"SBI Life Insurance 5,00,000 5 Lacs+","LIC Policy  4,58,750 4 Lacs+ SBI Life Isnurance 5,00,000 5 Lacs+ HDFC Life Insurance 3,58,851 3 Lacs+ HDFC Life Insurance 3,75,000 3 Lacs+ Max Life Insurance  2,00,000 2 Lacs+","LIC Policy  3,19,310 3 Lacs+","Rs 57,52,391 57 Lacs+"
6,v,Personal loans/advance given,"Business Advance  2,06,11,321 2 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 2,06,11,321 2 Crore+"
7,vi,"Motor Vehicles (details of make, etc.)","Getz Car Reg.No-GA-09A-2209 Year-2007  2,94,933 2 Lacs+ Pleasure Reg.No-GA-09J-2609 Year-2012  49,000 49 Thou+ Swift Car Reg.No-GA-12A-0909 Year-2018  10,33,256 10 Lacs+ Etios Car Reg.No-GA-03H-8036 Year-2017  3,00,000 3 Lacs+","Corolla Altis Reg.No-GA-12A-0101 Year-2014  19,53,329 19 Lacs+ Innova Toyota Car Reg.No-GA-12A-3209 Year-2018  26,05,096 26 Lacs+",Nil,Nil,Nil,Nil,"Rs 62,35,614 62 Lacs+"
8,vii,Jewellery (give details weight value),"Gold 225 Gram  6,09,363 6 Lacs+","Gold 225 Gram  6,09,363 6 Lacs+",Nil,Nil,Nil,Nil,"Rs 12,18,726 12 Lacs+"
9,viii,"Other assets, such as values of claims / interests","1,26,245 1 Lacs+","5,45,000 5 Lacs+",Nil,Nil,Nil,Nil,"Rs 6,71,245 6 Lacs+"
