,0,1,2,3,4,5,6,7,8
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,
1,i,Loans from Banks / FIs,"Vehicle Loan, Axis Bank  5,37,244 5 Lacs+ Axis Bank Credit Card 4,76,269 4 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 10,13,513 10 Lacs+"
2,i,Loans due to Individual / Entity,"Sapam Anandita 1,98,14,975 1 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 1,98,14,975 1 Crore+"
3,i,Any other Liability,"Other Payable Liabilities 22,33,460 22 Lacs+","SMS Commercial (P) Ltd 8,87,487 8 Lacs+",Nil,Nil,Nil,Nil,"Rs 31,20,947 31 Lacs+"
4,i,Grand Total of Liabilities (as per affidavit),"2,30,61,948 2 Crore+","8,87,487 8 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,39,49,435 2 Crore+"
5,ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,ii,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,ii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
8,ii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
9,ii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,ii,Income Tax Dues,"2020-21  1,37,842 1 Lacs+ 2014-15  4,65,700 4 Lacs+ 2011-12  15,470 15 Thou+ 2019-20  32,020 32 Thou+ 2008-09  1,98,574 1 Lacs+ 2004-05  22 2009-10  3","2011-12  9,576 9 Thou+",Nil,Nil,Nil,Nil,"Rs 8,59,207 8 Lacs+"
11,ii,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
12,ii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
13,ii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
14,ii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
15,ii,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
16,ii,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
17,iii,Grand Total of all Govt Dues (as per affidavit),"8,49,631 8 Lacs+","9,576 9 Thou+",Nil,Nil,Nil,Nil,"Rs 8,59,207 8 Lacs+"
18,iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
19,iv,Totals (Calculated as Sum of Values),"Rs 2,39,11,579 2 Crore+","Rs 8,97,063 8 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,48,08,642 2 Crore+"
