,0,1,2,3,4,5,6,7,8
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,
1,i,Loans from Banks / FIs,"LIC Housing Finance Personal Loan  41,21,357 41 Lacs+ House Loan From PNB  6,49,865 6 Lacs+","PNB  1,05,35,834 1 Crore+ PNB  13,09,913 13 Lacs+ LIC Housing Finanace Personal Loan  41,21,357 41 Lacs+","Indian Bank Personal Loan  25,40,356 25 Lacs+","Indian Bank  23,75,559 23 Lacs+",Nil,Nil,"Rs 2,56,54,241 2 Crore+"
2,i,Loans due to Individual / Entity,"Personal Loan From Pradeep Batra and Sons  16,61,000 16 Lacs+ Personal Loan From Rishu Agarwal  5,00,000 5 Lacs+ Personal Loan From Ram Prakash Batra and Sons  27,83,000 27 Lacs+","Personal Loan From Ram Prakash Batra and Sons  13,10,000 13 Lacs+ Personal Loan From Delhi Public School  5,00,000 5 Lacs+ Personal Loan From Ram Prakash Batra and Sons  47,54,000 47 Lacs+ Personal Loan From Pramod Miglani  25,00,000 25 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,40,08,000 1 Crore+"
3,i,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil
4,i,Grand Total of Liabilities (as per affidavit),"97,15,222 97 Lacs+","2,50,31,104 2 Crore+","25,40,356 25 Lacs+","23,75,559 23 Lacs+",Nil,Nil,"Rs 3,96,62,241 3 Crore+"
5,ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,ii,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,ii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
8,ii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
9,ii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,ii,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
11,ii,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
12,ii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
13,ii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
14,ii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
15,ii,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
16,ii,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
17,iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
18,iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
19,iv,Totals (Calculated as Sum of Values),"Rs 97,15,222 97 Lacs+","Rs 2,50,31,104 2 Crore+","Rs 25,40,356 25 Lacs+","Rs 23,75,559 23 Lacs+",Nil,Nil,"Rs 3,96,62,241 3 Crore+"
