,0,1,2,3,4,5,6,7,8
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,
1,i,Cash,"1,75,000 1 Lacs+","1,18,000 1 Lacs+","2,06,000 2 Lacs+","5,52,000 5 Lacs+ HUF2  0",Nil,Nil,"Rs 10,51,000 10 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","FD in SBI  1,70,000 1 Lacs+ IDBI Bank Saving Bank  59,466 59 Thou+ CA in IDBI Bank Joint With Ishwar Devi  1,13,393 1 Lacs+ SB in IDBI Bank Joint With Ishwar Devi  5,833 5 Thou+ SB in SBI  98,016 98 Thou+ UBI SB Joint With Ram Agarwal, Rishu Agarwal Manisha Batra  55,332 55 Thou+ Utkarsh Small Finance Bank SB  39,518 39 Thou+ PNB SB Joint With Pradeep Batra  8,000 8 Thou+","PNB SB Joint With Pradeep Batra 8,000 8 Thou+ UBI SB Joint With Pradeep Batra , Ram AGarwal Rishu Agarwal  55,332 55 Thou+ IDBI Bank SB  1,048 1 Thou+ Indian Overseas Bank SB 14,626 14 Thou+ HDFC Bank SB 1,000 1 Thou+","Indian Bank Current AC 1,72,121 1 Lacs+","SBI Current AC 2,74,355 2 Lacs+",Nil,Nil,"Rs 10,76,040 10 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies","Saiishwar Food Industries Pvt Ltd Debentures/Shares  15,00,000 15 Lacs+","Saiishwar Food Industries Pvt Ltd Debentures/Shares  1,85,50,000 1 Crore+",Nil,Nil,Nil,Nil,"Rs 2,00,50,000 2 Crore+"
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,"LIC  10,63,933 10 Lacs+","LIC  4,80,400 4 Lacs+",Nil,Nil,Nil,Nil,"Rs 15,44,333 15 Lacs+"
6,v,Personal loans/advance given,"Saiishwar Food Industries Pvt Ltd 10,00,000 10 Lacs+ Akash Ganga Associates  49,50,000 49 Lacs+","Akash Ganga Associates  35,50,000 35 Lacs+ Saiishwar Food Industries Pvt Ltd 44,28,100 44 Lacs+","Manisha Batra  47,54,000 47 Lacs+ Akash Ganga Associates  25,08,000 25 Lacs+ Pradeep Batra  27,83,000 27 Lacs+","Manisha Batra  13,10,000 13 Lacs+ Om Prakash Dawar and Sons  6,75,000 6 Lacs+ Pradeep Batra Unsecured Loan  16,61,000 16 Lacs+",Nil,Nil,"Rs 2,76,19,100 2 Crore+"
7,vi,"Motor Vehicles (details of make, etc.)","Car SUV Toyota Reg No-UK17C6777 Year of Purchased 2018  6,64,000 6 Lacs+","MC Honda Reg No-UK08P-6883 Year of Purchased 2014  6,700 6 Thou+",Nil,"Tata Reg No-UK-08-CA-5278 Year of Purchased 2013  1,00,000 1 Lacs+",Nil,Nil,"Rs 7,70,700 7 Lacs+"
8,vii,Jewellery (give details weight value),"400 Gram Gold  10,00,000 10 Lacs+","580 Gram Gold 15,00,000 15 Lacs+","100 Gram Gold 3,00,000 3 Lacs+","50 Gram Gold  1,50,000 1 Lacs+",Nil,Nil,"Rs 29,50,000 29 Lacs+"
9,viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"1,09,02,491 1 Crore+","2,87,13,206 2 Crore+","1,07,23,121 1 Crore+","47,22,355 47 Lacs+",Nil,Nil,"Rs 5,50,61,173 5 Crore+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 1,09,02,491 1 Crore+","Rs 2,87,13,206 2 Crore+","Rs 1,07,23,121 1 Crore+","Rs 47,22,355 47 Lacs+",Nil,Nil,"Rs 5,50,61,173 5 Crore+"
