,0,1,2,3,4,5,6,7,8,9
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,
1,i,Cash,"61,500 61 Thou+","55,460 55 Thou+",Nil,"65,940 65 Thou+","42,960 42 Thou+","49,500 49 Thou+","1,500 1 Thou+","Rs 2,76,860 2 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Saving A/c  8,64,388 8 Lacs+","Saving A/c  5,48,303 5 Lacs+",Nil,"Saving A/c  64,590 64 Thou+","Saving A/c  32,72,828 32 Lacs+","Saving A/c  2,150 2 Thou+","4,509 4 Thou+","Rs 47,56,768 47 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,"S.R.G.T. Akash Electric Infratech Pvt Ltd  5,00,000 5 Lacs+ S.R. G.T. E Salahkar  5,00,000 5 Lacs+","S.R. G.T. Akash Electric Infratech Pvt Ltd  5,00,000 5 Lacs+ S.R.G.T. E Salahkar  5,00,000 5 Lacs+",Nil,Nil,"Rs 20,00,000 20 Lacs+"
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,"Policy  19,55,641 19 Lacs+","Policy  20,41,630 20 Lacs+",Nil,"Policy  6,88,950 6 Lacs+","Policy  5,80,000 5 Lacs+","6,40,850 6 Lacs+","8,93,797 8 Lacs+","Rs 68,00,868 68 Lacs+"
6,v,Personal loans/advance given,"Trivedi Kiln Industry 6,68,322 6 Lacs+ New Trivedi Bricks Industry  6,08,521 6 Lacs+ New Trivedi Bricks Industry  6,09,814 6 Lacs+ Rice Mill  940 9 Hund+","Stateman  19,750 19 Thou+",Nil,Nil,Nil,"Statemen  19,750 19 Thou+",Nil,"Rs 19,27,097 19 Lacs+"
7,vi,"Motor Vehicles (details of make, etc.)","Hyundai Car Venue UP78-FB6393, year-2019  6,96,960 6 Lacs+ Car-Innova Cresta UP78-GQ6030, year-2021  20,75,751 20 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,"Rs 27,72,711 27 Lacs+"
8,vii,Jewellery (give details weight value),"Gold 100gm, Sivler 50gm  5,27,200 5 Lacs+","gold 525gm, Silver 1250gm  26,82,000 26 Lacs+",Nil,"Gold 100gm 4,96,000 4 Lacs+","Gold 300gm, Silver 250gm  15,03,600 15 Lacs+",Nil,Nil,"Rs 52,08,800 52 Lacs+"
9,viii,"Other assets, such as values of claims / interests","Rifle & Revolver  2,00,000 2 Lacs+","Rifle & Revolver  2,00,000 2 Lacs+",Nil,"Rifle  1,00,000 1 Lacs+",Nil,Nil,Nil,"Rs 5,00,000 5 Lacs+"
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"82,69,037 82 Lacs+","55,47,143 55 Lacs+",Nil,"24,15,480 24 Lacs+","63,99,388 63 Lacs+","7,12,250 7 Lacs+","8,99,806 8 Lacs+","Rs 2,42,43,104 2 Crore+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 82,69,037 82 Lacs+","Rs 55,47,143 55 Lacs+",Nil,"Rs 24,15,480 24 Lacs+","Rs 63,99,388 63 Lacs+","Rs 7,12,250 7 Lacs+","Rs 8,99,806 8 Lacs+","Rs 2,42,43,104 2 Crore+"
